system,no_sent,no_corefs,sent_sentim_0,sent_sentim_1,sent_sentim_2,sent_sentim_3,sent_sentim_4,tok_sentim_0,tok_sentim_1,tok_sentim_2,tok_sentim_3,tok_sentim_4,no_openie,NUMBER,PERSON,LOCATION,DATE,ORGANIZATION,MISC,DURATION,TIME,SET,ORDINAL,MONEY,PERCENT,named_entities,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NNP,NNPS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,``,0,,,'',:,,,$,-LRB-,-RRB-,-LCB-,-RCB-,Attribution[S][N],Background[N][S],Background[S][N],Cause[N][S],Cause[S][N],Comparison[N][N],Comparison[N][S],Condition[N][S],Condition[S][N],Contrast[N][N],Contrast[N][S],Contrast[S][N],Elaboration[N][S],Enablement[N][S],Enablement[S][N],Evaluation[N][S],Evaluation[S][N],Explanation[N][S],Joint[N][N],same-unit[N][N],Summary[N][S],Temporal[N][N],Temporal[N][S],Temporal[S][N],textual-organization[N][N]
D30007.M.100.T.D,5,2,0,4,1,0,0,0,2,117,0,0,19,2,2,2,0,0,3,0,0,0,0,0,0,9,6,2,14,0,0,12,8,0,0,0,0,16,9,4,3,0,1,1,0,4,0,0,1,0,0,0,0,3,4,5,4,6,2,1,0,0,0,5,7,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,15
D30002.M.100.T.B,10,1,0,8,2,0,0,0,3,127,1,0,43,14,3,11,0,1,2,5,0,0,0,3,0,39,3,16,6,0,0,16,6,0,1,0,0,11,13,18,0,0,1,0,0,0,0,0,0,0,6,0,1,10,1,2,1,0,0,0,0,0,0,10,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,10
D30028.M.100.T.C,5,7,0,4,1,0,0,0,1,110,2,0,21,3,1,14,0,0,4,0,0,0,0,0,0,22,3,3,11,0,0,16,5,0,0,0,0,13,9,16,0,0,0,0,2,1,0,0,0,0,6,0,4,2,2,7,1,6,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,1,0,0,0,0,0,0,0,15
D30040.M.100.T.A,5,2,0,5,0,0,0,0,1,112,2,0,54,0,2,6,9,2,8,0,0,0,1,0,0,28,3,2,12,0,0,16,6,0,0,0,0,19,3,14,3,0,1,0,1,6,0,0,0,0,3,0,2,7,4,1,0,0,0,0,0,0,1,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,9
D31008.M.100.T.C,5,5,0,4,0,1,0,1,4,104,2,0,22,2,8,2,0,3,0,0,0,0,2,0,0,17,3,2,10,0,0,11,8,0,0,0,0,12,9,13,0,0,1,1,0,3,0,0,0,0,4,0,3,7,1,9,0,0,0,1,0,0,0,5,8,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,1,0,0,0,0,0,0,12
D30059.M.100.T.B,11,3,0,3,8,0,0,0,0,118,4,0,44,0,5,2,1,2,2,0,0,0,1,0,0,13,4,1,7,0,0,9,8,0,0,0,2,22,5,7,0,0,1,6,3,1,0,0,1,0,5,0,5,13,0,7,0,1,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,1,0,0,0,1,5,1,0,0,0,0,0,0,16
D31043.M.100.T.H,6,5,1,4,0,0,1,0,2,114,4,1,20,2,6,2,1,1,0,0,0,0,0,0,0,12,2,3,9,0,0,7,10,0,0,0,1,16,1,12,0,0,4,4,1,4,0,0,1,0,6,0,6,6,2,3,0,4,0,1,0,1,0,6,11,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,2,0,0,0,0,0,0,14
D30017.M.100.T.B,11,4,0,7,3,1,0,1,4,123,3,0,29,7,0,14,4,1,2,4,0,0,0,0,0,32,2,8,9,0,0,11,9,0,0,0,4,18,8,15,1,0,1,1,3,3,0,0,0,0,6,0,5,2,2,4,2,4,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,13
D30050.M.100.T.E,7,2,0,6,1,0,0,0,0,111,2,1,35,0,5,3,0,4,4,0,0,0,0,0,0,16,1,0,10,0,0,13,5,0,0,0,2,9,13,16,1,0,1,1,3,1,0,0,0,0,5,0,7,1,7,0,4,1,0,0,0,0,1,7,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,2,0,0,0,0,0,0,0,12
D30020.M.100.T.E,4,4,0,3,1,0,0,1,4,107,4,1,30,1,0,9,2,0,3,0,1,0,0,0,0,16,5,2,11,0,0,15,8,0,0,0,1,23,9,11,1,0,4,0,0,2,0,0,0,0,2,0,4,4,2,1,0,1,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,1,0,0,0,0,0,0,8
D30017.M.100.T.G,6,2,0,3,1,2,0,1,5,114,4,0,45,0,0,12,3,0,2,0,0,0,0,0,2,19,7,1,7,0,0,9,16,1,1,0,1,17,5,12,0,0,0,1,0,2,0,1,1,0,5,0,4,0,6,3,3,4,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,2,1,0,0,0,0,0,0,13
D30056.M.100.T.B,10,6,0,8,2,0,0,0,2,119,3,0,28,5,0,2,0,2,5,4,0,0,0,0,0,18,0,6,16,0,0,13,8,0,0,0,0,16,14,4,0,0,0,4,1,0,0,0,0,0,1,0,1,11,3,8,2,0,1,0,0,0,0,10,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,2,0,0,0,0,0,0,16
D30046.M.100.T.H,5,5,0,4,1,0,0,0,2,120,0,0,28,1,6,0,0,4,2,0,0,0,0,0,0,13,3,1,13,0,0,18,4,0,0,0,5,16,5,13,1,0,1,2,1,5,0,0,0,0,2,0,7,4,0,2,1,1,0,1,0,0,1,5,7,1,0,0,0,1,1,0,0,3,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,2,2,0,0,0,0,0,0,15
D30027.M.100.T.A,5,4,0,5,0,0,0,0,4,104,1,0,43,0,4,2,2,5,2,0,0,0,0,0,0,15,1,1,7,2,0,13,11,0,1,0,1,13,3,15,1,0,1,1,0,4,0,0,1,0,0,0,1,10,3,2,0,1,0,0,0,2,1,5,5,1,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,1,2,0,0,1,0,0,0,16
D30046.M.100.T.B,10,3,0,7,2,1,0,0,6,113,2,0,23,0,13,0,1,4,2,0,0,0,0,0,0,20,2,0,6,0,0,8,5,0,0,0,0,12,4,18,1,0,2,3,4,1,0,0,1,0,7,0,6,11,1,7,2,0,0,1,0,1,2,10,4,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,10,3,0,0,0,1,1,1,0,0,0,0,0,0,18
D30003.M.100.T.F,5,3,0,4,1,0,0,0,15,88,3,0,20,0,5,5,0,0,7,1,0,0,0,0,0,18,5,0,3,0,0,9,16,0,0,0,1,14,8,12,0,0,2,0,1,4,0,0,0,0,2,0,5,3,1,4,3,3,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,8
D30001.M.100.T.A,6,6,0,5,0,1,0,0,2,112,4,0,35,0,15,2,3,3,0,0,0,0,0,0,0,23,5,1,9,0,0,15,2,0,0,0,0,20,6,26,0,0,3,1,1,1,0,0,2,0,3,0,1,8,3,1,1,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,12
D30024.M.100.T.D,7,5,0,5,2,0,0,0,5,103,1,0,41,0,11,1,1,4,6,0,0,0,0,0,0,23,3,1,7,0,0,13,5,0,1,0,0,9,4,21,5,0,0,1,3,2,0,0,0,0,6,0,4,9,1,1,0,0,0,0,0,0,1,7,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,2,1,0,0,0,0,0,0,9
D30049.M.100.T.E,7,3,0,5,2,0,0,0,4,108,4,0,27,0,1,18,0,0,2,0,0,0,0,2,0,23,3,1,11,0,0,7,10,0,0,0,0,16,9,20,0,0,1,0,0,1,0,0,0,0,9,0,7,3,0,2,0,7,0,0,0,0,0,7,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6,1,0,0,0,0,4,0,0,0,0,0,0,0,13
D30034.M.100.T.F,10,6,0,9,1,0,0,0,2,116,2,0,27,0,3,12,2,4,9,0,0,0,0,0,0,30,4,1,7,0,0,7,9,0,0,0,0,12,10,24,0,0,1,1,1,2,0,0,0,0,4,0,4,7,1,6,3,3,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,1,0,1,0,0,0,0,0,0,14
D31008.M.100.T.E,6,3,0,4,2,0,0,0,5,107,4,0,17,1,1,3,2,1,0,2,0,0,0,0,0,10,4,2,11,0,0,18,6,0,0,0,0,17,16,11,0,0,0,0,0,1,0,0,0,0,3,0,2,5,3,5,0,0,0,1,0,0,0,6,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,1,0,0,0,0,0,0,12
D30055.M.100.T.F,6,4,0,3,2,1,0,0,2,116,6,0,46,2,5,5,0,4,1,1,0,0,1,0,0,19,3,2,8,0,0,13,11,0,0,0,0,21,6,16,0,0,8,2,1,2,0,0,0,0,3,0,3,8,0,4,0,0,1,0,1,0,1,6,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,10
D30053.M.100.T.G,9,2,0,7,1,1,0,0,4,106,5,0,28,0,3,3,2,0,4,0,0,0,0,0,0,12,5,1,8,0,0,9,5,1,0,0,2,15,7,8,0,0,0,1,0,8,0,0,0,0,8,0,9,10,1,4,0,0,1,1,0,0,0,9,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,16
D30026.M.100.T.D,6,4,0,5,1,0,0,0,1,102,6,1,44,0,0,0,0,9,1,1,0,0,0,0,0,11,4,0,11,0,0,12,6,0,1,0,1,20,6,11,1,0,0,2,2,1,1,0,0,0,3,0,5,5,6,1,0,1,1,0,0,0,0,6,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7,1,1,0,0,0,2,0,0,0,0,0,0,0,13
D30022.M.100.T.F,9,5,0,8,1,0,0,0,2,108,4,0,22,2,1,4,0,5,0,2,0,0,0,0,0,14,3,3,12,0,0,7,5,0,0,0,0,17,10,11,0,0,3,2,1,2,0,0,1,0,5,0,2,12,4,4,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,1,2,0,0,0,0,0,0,0,14
D31008.M.100.T.D,6,3,0,4,2,0,0,0,8,103,2,0,21,2,3,0,2,7,0,2,0,0,0,0,0,16,4,2,12,0,0,11,6,0,0,0,0,17,8,10,0,0,0,0,0,1,0,0,0,0,4,0,2,10,3,9,0,0,0,0,0,0,1,6,4,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,4,0,1,0,0,0,0,0,15
D30029.M.100.T.A,6,6,0,5,1,0,0,0,4,113,5,0,30,7,4,3,15,0,1,3,0,0,0,0,0,33,5,8,11,0,0,18,12,0,0,0,0,15,10,12,0,0,2,0,0,3,0,0,0,0,1,0,1,7,2,6,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,1,0,0,0,0,0,0,11
D30042.M.100.T.C,5,5,0,3,0,2,0,0,1,110,1,1,27,1,2,6,2,4,2,0,0,0,1,0,0,18,1,3,15,1,0,19,3,0,0,0,2,18,6,13,0,0,0,1,0,2,0,0,1,0,3,0,4,1,0,7,1,5,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,9
D30038.M.100.T.F,11,4,0,7,2,2,0,0,0,138,1,0,12,1,6,5,5,8,3,0,0,0,1,7,2,38,4,10,9,0,0,10,3,0,0,0,5,16,11,23,0,0,2,1,0,2,0,0,0,0,4,0,6,6,0,3,0,5,0,0,0,0,0,11,5,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,15
D31038.M.100.T.G,9,6,0,7,2,0,0,0,3,121,6,0,31,6,7,13,7,1,0,0,0,0,0,3,0,37,6,10,12,0,0,12,1,0,0,0,0,13,7,23,0,0,0,2,2,2,1,0,0,0,1,0,1,13,2,8,0,0,0,0,0,1,0,9,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0,0,0,15
D30055.M.100.T.B,9,4,0,8,0,1,0,0,1,119,5,0,37,0,7,1,3,4,0,1,0,0,0,0,0,16,4,2,10,0,0,10,6,0,0,0,2,21,3,15,0,0,3,2,2,1,0,0,0,0,7,0,8,7,4,5,0,2,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,1,0,0,0,0,0,0,0,14
D30050.M.100.T.D,6,2,0,6,0,0,0,0,4,100,7,0,24,0,7,3,2,4,2,0,0,0,0,0,0,18,4,0,14,0,0,13,8,0,0,0,0,18,5,16,1,0,2,0,0,2,0,0,0,0,3,0,2,0,2,3,2,6,1,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,1,0,0,0,0,0,0,9
D31038.M.100.T.D,7,5,0,6,1,0,0,0,2,102,9,1,30,4,5,10,0,3,3,0,0,0,0,0,0,25,3,4,12,0,1,17,6,0,0,0,0,15,8,16,2,0,0,1,1,1,0,0,0,0,0,0,0,2,2,5,4,3,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,10
D30015.M.100.T.B,8,7,0,6,1,1,0,0,4,109,5,0,21,0,5,8,5,7,1,0,0,0,0,0,0,26,3,1,1,0,0,11,8,0,1,0,0,19,9,19,0,0,0,2,1,5,0,0,1,0,4,0,5,1,3,2,3,8,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,9,2,0,0,0,0,1,0,0,1,0,0,0,0,17
D30006.M.100.T.C,4,6,0,4,0,0,0,0,0,113,3,0,27,0,0,0,1,5,0,2,0,0,1,3,0,12,1,3,14,0,0,16,4,0,0,0,1,25,5,6,0,0,2,3,2,4,0,0,0,0,3,0,2,2,3,2,1,6,2,0,0,1,0,4,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,11
D30045.M.100.T.C,6,4,0,6,0,0,0,0,1,124,1,0,22,1,0,1,4,5,0,0,0,0,0,0,0,11,5,1,15,0,0,12,6,0,2,0,6,16,14,7,0,1,1,5,0,1,0,0,0,0,1,0,7,1,4,3,3,1,1,0,0,0,0,6,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,1,0,0,0,0,0,0,12
D31013.M.100.T.H,4,6,0,4,0,0,0,0,3,115,1,0,14,1,9,1,4,1,0,0,0,0,0,0,0,16,4,3,15,0,0,16,10,0,0,0,0,18,8,13,0,0,0,0,2,1,0,0,1,0,2,0,1,1,3,2,4,1,0,2,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,1,0,0,0,0,0,0,8
D31013.M.100.T.G,8,3,0,6,2,0,0,0,3,123,3,0,22,0,3,2,0,1,0,4,0,0,2,0,0,12,7,0,16,0,0,12,15,1,0,1,0,17,11,9,0,0,1,1,1,1,0,0,0,0,2,0,0,2,2,5,1,5,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,1,0,0,0,0,0,0,0,10
D30001.M.100.T.D,7,5,1,5,0,1,0,0,3,111,4,0,34,0,16,2,0,3,1,1,0,0,0,0,0,23,5,0,9,0,0,9,9,1,1,0,0,16,7,24,0,0,0,0,3,1,0,0,0,0,4,0,2,7,4,2,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,1,0,0,0,0,0,0,11
D30024.M.100.T.G,6,7,0,6,0,0,0,0,2,120,2,0,39,0,8,0,6,3,4,0,0,0,0,0,0,21,5,4,10,0,0,14,8,0,0,0,0,10,9,15,2,0,2,1,4,1,0,0,0,0,3,0,2,11,1,5,0,0,0,1,0,0,0,6,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,0,0,1,0,0,0,11
D30034.M.100.T.G,5,4,0,4,0,1,0,0,2,113,5,0,15,0,0,12,4,4,3,0,0,0,0,0,0,23,8,1,9,0,0,9,9,0,0,0,1,10,9,17,0,0,1,0,1,5,0,0,0,0,1,0,2,2,3,7,3,2,0,0,0,0,0,5,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,3,1,0,0,0,0,0,0,12
D31032.M.100.T.F,9,2,0,7,2,0,0,0,5,125,0,0,21,1,3,2,1,0,1,2,0,0,0,0,0,10,8,2,9,0,0,10,5,0,0,0,1,21,6,7,0,0,0,6,4,6,2,0,1,0,5,0,2,13,0,7,1,2,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,7,0,0,0,0,1,3,2,0,0,0,0,0,0,18
D30053.M.100.T.E,7,5,0,5,2,0,0,0,5,102,1,0,26,0,7,9,1,1,8,0,0,0,0,0,0,26,4,1,5,0,0,9,8,1,0,0,2,10,10,24,0,0,2,2,1,2,0,0,0,0,1,0,3,5,4,0,1,2,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1,0,0,0,0,1,1,0,0,0,0,0,0,12
D30051.M.100.T.D,5,2,1,4,0,0,0,0,12,96,2,0,56,1,2,4,0,1,13,0,0,0,0,0,0,21,7,1,6,0,0,11,9,0,0,0,1,10,16,12,2,0,0,0,0,1,0,0,0,0,2,0,2,5,3,7,0,2,0,1,0,1,1,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,2,3,0,0,0,0,0,0,19
D30059.M.100.T.F,9,3,0,5,3,1,0,0,1,111,2,0,36,0,3,5,3,0,0,0,0,0,0,0,0,11,6,2,4,0,0,10,8,1,0,0,0,21,5,8,0,0,3,4,3,3,0,0,0,0,2,0,2,10,0,6,2,1,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,1,0,0,2,0,0,0,0,0,0,0,12
D30047.M.100.T.C,7,6,0,4,2,1,0,0,0,116,3,1,43,1,0,4,5,2,5,2,0,0,2,0,0,21,0,2,20,0,0,9,9,1,0,0,0,26,5,8,0,0,0,1,0,6,0,0,0,0,8,0,6,6,1,2,0,1,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,8
D30033.M.100.T.A,8,5,0,6,2,0,0,0,1,119,2,0,34,2,0,4,11,0,2,0,0,0,0,0,0,19,2,6,13,1,0,15,8,1,0,0,1,16,9,8,0,0,1,2,0,3,0,0,0,0,1,0,2,9,2,2,0,0,2,0,0,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,1,1,1,0,0,0,0,0,0,12
D31050.M.100.T.G,6,4,1,3,1,1,0,0,3,118,4,0,10,2,3,6,2,5,0,6,0,0,0,0,0,24,6,6,8,0,0,11,5,1,0,0,0,12,9,17,0,0,2,0,0,3,0,0,1,0,5,0,2,9,7,3,0,1,0,0,0,0,1,6,7,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,3,4,0,0,0,0,0,0,17
D30044.M.100.T.G,8,4,0,7,0,1,0,0,0,114,1,0,30,0,3,9,1,5,7,0,0,0,0,0,0,25,4,1,9,0,0,13,8,0,0,0,0,10,7,18,4,0,0,2,2,3,0,0,0,0,2,0,2,2,3,3,3,6,0,0,0,1,0,8,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,4,1,0,0,0,0,0,0,13
D30011.M.100.T.F,7,4,0,3,3,1,0,0,3,104,5,0,36,0,8,1,2,1,4,3,0,0,0,0,0,19,6,1,9,0,0,10,10,0,0,0,0,17,8,13,0,0,2,1,3,2,0,0,1,0,2,0,2,7,2,6,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,1,2,1,0,0,0,0,0,0,12
D30034.M.100.T.A,4,3,0,3,1,0,0,0,3,100,1,1,28,1,0,12,5,3,4,0,0,0,0,0,0,25,4,4,6,0,0,14,8,0,0,0,1,11,4,18,1,0,2,1,0,2,0,0,1,0,1,0,2,10,2,1,0,0,0,1,0,0,1,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,4,1,1,0,0,0,0,0,11
D31032.M.100.T.D,6,5,0,5,1,0,0,0,7,113,0,0,29,1,3,2,0,0,2,0,0,0,2,0,0,10,2,1,6,0,0,12,13,0,0,0,2,14,8,6,1,0,2,6,3,3,0,0,0,0,8,0,9,3,1,5,1,6,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,1,0,0,0,14
D30002.M.100.T.E,7,4,0,6,1,0,0,0,7,115,3,0,17,10,1,15,0,3,0,0,0,0,0,0,0,29,4,10,9,0,0,19,5,0,3,0,0,12,10,20,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,4,1,0,1,0,0,1,0,7,8,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,3,0,0,0,0,0,0,0,11
D31026.M.100.T.C,5,8,0,2,1,2,0,0,1,117,5,0,32,1,4,0,0,13,6,2,0,0,5,0,0,31,1,2,17,0,0,19,6,0,0,0,0,15,10,18,5,0,0,0,4,0,0,0,0,0,4,0,3,7,0,2,0,1,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,1,0,0,0,0,0,0,11
D30037.M.100.T.G,5,3,0,4,0,1,0,0,1,109,3,0,17,0,7,4,1,0,5,1,0,0,0,0,2,20,4,2,14,0,0,13,10,0,0,0,1,21,5,11,1,0,1,0,2,4,0,0,0,0,2,0,4,6,1,3,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,11
D30053.M.100.T.B,10,5,0,7,2,1,0,0,7,113,2,0,27,1,7,7,2,1,2,2,0,0,0,0,0,22,5,2,11,0,0,11,1,0,0,0,2,17,6,18,2,0,1,2,2,1,0,0,0,0,2,0,4,0,2,4,3,8,0,0,0,1,1,10,5,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,15
D30007.M.100.T.E,7,3,0,7,0,0,0,0,2,110,5,0,55,1,2,6,0,0,3,1,0,0,0,0,2,15,6,2,6,0,0,11,9,0,0,0,0,18,8,9,1,0,1,4,3,0,0,0,0,0,5,0,3,2,5,6,3,3,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,2,0,0,0,0,0,0,15
D30037.M.100.T.A,6,4,0,4,1,1,0,1,1,112,3,0,24,0,7,3,1,0,3,0,0,0,0,0,0,14,1,1,10,0,0,16,8,0,0,0,1,24,3,14,0,0,2,3,1,3,0,0,0,0,4,0,2,6,2,2,0,0,1,0,0,1,2,6,2,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,1,0,0,0,0,0,0,12
D30049.M.100.T.D,7,5,0,5,2,0,0,1,2,119,5,0,24,3,6,17,2,0,5,0,0,0,0,0,0,33,3,3,12,0,0,11,11,0,0,0,0,18,3,26,0,0,2,1,1,5,0,0,0,0,2,0,1,3,2,3,0,5,0,0,0,0,1,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,8
D31031.M.100.T.G,5,2,0,5,0,0,0,0,4,105,6,0,43,2,0,1,2,0,2,2,0,0,1,3,0,13,6,6,15,0,0,9,9,1,0,0,1,20,10,3,0,0,0,1,0,2,0,1,0,0,1,0,3,10,2,1,0,0,0,0,0,0,0,5,8,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,3,1,0,0,0,0,0,0,13
D30038.M.100.T.E,5,5,0,5,0,0,0,0,2,108,2,0,21,0,4,4,7,5,4,0,0,0,0,0,0,24,3,5,8,0,0,9,4,0,0,0,0,12,13,16,4,0,1,0,1,0,0,0,0,0,6,0,4,7,4,2,1,1,0,0,0,1,0,5,5,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,2,0,0,0,0,0,0,14
D30051.M.100.T.F,10,6,0,9,1,0,0,0,5,111,2,0,40,2,5,5,0,4,13,2,0,0,1,0,0,32,3,3,4,0,0,11,5,0,0,0,0,10,9,20,4,0,0,2,1,0,0,0,0,0,5,0,4,12,3,7,0,1,0,0,0,0,1,10,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0,15
D31026.M.100.T.E,5,5,0,4,0,1,0,0,2,113,9,0,18,1,6,0,0,7,3,0,0,0,0,0,0,17,6,1,16,0,0,14,1,0,0,0,0,24,5,12,5,0,2,0,2,3,0,0,0,0,3,0,3,2,2,3,4,0,0,0,0,0,0,5,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,2,2,0,0,0,0,0,0,13
